episodes,rewards,steps
234,-5.766999999999994,63
235,-9.99999999999998,100
236,-9.99999999999998,100
237,-9.99999999999998,100
238,-7.1839999999999895,76
239,-9.99999999999998,100
240,-9.99999999999998,100
241,0.01000000000000012,10
242,-9.99999999999998,100
243,-9.99999999999998,100
244,0.5549999999999999,5
245,-9.99999999999998,100
246,0.5549999999999999,5
247,0.5549999999999999,5
248,0.5549999999999999,5
249,0.5549999999999999,5
250,0.5549999999999999,5
251,0.5549999999999999,5
252,0.5549999999999999,5
253,0.5549999999999999,5
254,0.5549999999999999,5
255,0.5549999999999999,5
256,0.5549999999999999,5
257,0.5549999999999999,5
258,-0.5350000000000001,15
259,0.5549999999999999,5
260,-2.1700000000000013,30
261,0.5549999999999999,5
262,-1.0800000000000005,20
263,0.5549999999999999,5
264,0.5549999999999999,5
265,0.5549999999999999,5
266,0.5549999999999999,5
267,0.5549999999999999,5
268,-9.99999999999998,100
269,-9.99999999999998,100
270,-9.99999999999998,100
271,-9.99999999999998,100
272,-9.99999999999998,100
273,-9.99999999999998,100
274,-9.99999999999998,100
275,-9.99999999999998,100
276,-9.99999999999998,100
277,-9.99999999999998,100
278,-0.5350000000000001,15
279,0.5549999999999999,5
280,0.5549999999999999,5
281,-0.6440000000000002,16
282,0.5549999999999999,5
283,0.5549999999999999,5
284,0.5549999999999999,5
285,0.5549999999999999,5
286,0.5549999999999999,5
287,0.5549999999999999,5
288,0.5549999999999999,5
289,0.01000000000000012,10
290,0.5549999999999999,5
291,0.5549999999999999,5
292,0.5549999999999999,5
293,0.5549999999999999,5
294,0.5549999999999999,5
295,0.5549999999999999,5
296,0.5549999999999999,5
297,0.5549999999999999,5
298,0.5549999999999999,5
299,0.5549999999999999,5
300,0.5549999999999999,5
301,0.5549999999999999,5
302,0.5549999999999999,5
303,0.5549999999999999,5
304,0.5549999999999999,5
305,0.5549999999999999,5
306,0.5549999999999999,5
307,0.5549999999999999,5
308,0.5549999999999999,5
309,0.5549999999999999,5
310,0.5549999999999999,5
311,0.5549999999999999,5
312,0.5549999999999999,5
313,0.5549999999999999,5
314,0.5549999999999999,5
315,0.5549999999999999,5
316,0.5549999999999999,5
317,0.5549999999999999,5
318,0.5549999999999999,5
319,0.5549999999999999,5
320,0.5549999999999999,5
321,0.5549999999999999,5
322,0.5549999999999999,5
323,0.5549999999999999,5
324,0.5549999999999999,5
325,0.5549999999999999,5
326,0.5549999999999999,5
327,0.5549999999999999,5
328,0.5549999999999999,5
329,0.5549999999999999,5
